chrom	gene	longExonStart	longExonEnd	shortExonStart	shortExonEnd	strand
chr1	TARDBP	11022123	11022241	11022123	11022250	+
chr1	TARDBP	11022123	11022177	11022123	11022250	+
chr1	TARDBP	11022123	11022241	11022123	11022268	+
chr1	TARDBP	11022123	11022250	11022123	11022268	+
chr1	TARDBP	11022123	11022177	11022123	11022268	+
chr1	TARDBP	11022123	11022241	11022123	11022250	+
chr1	TARDBP	11022547	11023329	11022547	11023667	+
chr1	EXOSC10-AS1	11099674	11099814	11099674	11099910	+
chr1	FBXO44	11658266	11658364	11658266	11658393	+
chr1	AGTRAP	11748414	11748589	11748414	11748610	+
chr1	MFN2	12006767	12007249	12006767	12007295	+
chr1	PDPN	13614299	13614405	13614299	13614411	+
chr1	PDPN	13583464	13584100	13583464	13584188	+
chr1	PDPN	13585460	13585568	13585460	13585639	+
chr1	PRDM2	13732778	13732855	13732778	13732882	+
chr1	FHAD1	15341735	15341888	15341735	15341893	+
chr1	DNAJC16	15566081	15566180	15566081	15566410	+
chr1	DNAJC16	15566081	15566299	15566081	15566410	+
chr1	DNAJC16	15566081	15566180	15566081	15566299	+
chr1	FBLIM1	15756606	15756728	15756606	15756732	+
chr1	FBLIM1	15758173	15758329	15758173	15758355	+
chr1	FBLIM1	15764492	15764547	15764492	15764685	+
chr1	FBLIM1	15758173	15758329	15758173	15758355	+
chr1	NECAP2	16447869	16447942	16447869	16447974	+
chr1	NECAP2	16440720	16440775	16440720	16440853	+
chr1	BX284668.2	16870944	16873107	16870944	16873143	+
chr1	BX284668.2	16872225	16873143	16872225	16873429	+
chr1	BX284668.2	16870944	16873107	16870944	16873507	+
chr1	BX284668.2	16872225	16873143	16872225	16873507	+
chr1	BX284668.2	16872225	16873429	16872225	16873507	+
chr1	BX284668.2	16872225	16873143	16872225	16873429	+
chr1	LINC02810	17718559	17718720	17718559	17718791	+
chr1	PLA2G5	20068872	20069032	20068872	20069034	+
chr1	VWA5B1	20348244	20348358	20348244	20348376	+
chr1	VWA5B1	20303080	20303212	20303080	20303349	+
chr1	NBPF3	21478068	21478196	21478068	21478307	+
chr1	NBPF3	21478143	21478227	21478143	21478307	+
chr1	NBPF3	21478068	21478196	21478068	21478227	+
chr1	LINC00339	22025492	22025639	22025492	22025945	+
chr1	LINC00339	22025492	22025643	22025492	22025945	+
chr1	LINC00339	22025492	22025643	22025492	22025945	+
chr1	LINC00339	22025492	22025945	22025492	22026119	+
chr1	LINC00339	22025510	22025643	22025510	22026119	+
chr1	LINC00339	22025510	22025639	22025510	22025643	+
chr1	LINC00339	22025492	22025945	22025492	22026649	+
chr1	LINC00339	22025510	22026119	22025510	22026649	+
chr1	LINC00339	22025510	22025643	22025510	22026649	+
chr1	LINC00339	22027413	22027534	22027413	22028379	+
chr1	LINC00339	22027413	22027780	22027413	22028379	+
chr1	CDC42	22052626	22052742	22052626	22052868	+
chr1	C1QC	22643632	22643714	22643632	22643737	+
chr1	C1QC	22643632	22643714	22643632	22643886	+
chr1	C1QC	22643632	22643737	22643632	22643886	+
chr1	ZNF436-AS1	23369198	23369324	23369198	23369513	+
chr1	RPL11	23691741	23691829	23691741	23692060	+
chr1	GRHL3	24319356	24319568	24319356	24319747	+
chr1	RCAN3	24502835	24503117	24502835	24503150	+
chr1	SRRM1	24654854	24655123	24654854	24655129	+
chr1	MTFR1L	25823237	25823323	25823237	25823439	+
chr1	MTFR1L	25820187	25820349	25820187	25820414	+
chr1	MTFR1L	25820187	25820349	25820187	25820659	+
chr1	MTFR1L	25820192	25820414	25820192	25820659	+
chr1	MTFR1L	25820761	25820921	25820761	25821003	+
chr1	CNKSR1	26177483	26177580	26177483	26177599	+
chr1	CNKSR1	26183345	26183414	26183345	26183435	+
chr1	CATSPER4	26200829	26201041	26200829	26201075	+
chr1	ZPLD2P	26222612	26222756	26222612	26222770	+
chr1	ZPLD2P	26223376	26223601	26223376	26223753	+
chr1	DHDDS	26432281	26432376	26432281	26432395	+
chr1	DHDDS	26432281	26432376	26432281	26432415	+
chr1	DHDDS	26432365	26432395	26432365	26432415	+
chr1	DHDDS	26432281	26432376	26432281	26432518	+
chr1	DHDDS	26432365	26432395	26432365	26432518	+
chr1	DHDDS	26432366	26432415	26432366	26432518	+
chr1	DHDDS	26432367	26432492	26432367	26432518	+
chr1	DHDDS	26432281	26432376	26432281	26432594	+
chr1	DHDDS	26432365	26432395	26432365	26432594	+
chr1	DHDDS	26432366	26432415	26432366	26432594	+
chr1	DHDDS	26432367	26432518	26432367	26432594	+
chr1	DHDDS	26432370	26432492	26432370	26432594	+
chr1	DHDDS	26432281	26432376	26432281	26432641	+
chr1	DHDDS	26432365	26432395	26432365	26432641	+
chr1	DHDDS	26432366	26432415	26432366	26432641	+
chr1	DHDDS	26432367	26432518	26432367	26432641	+
chr1	DHDDS	26432370	26432594	26432370	26432641	+
chr1	DHDDS	26432370	26432492	26432370	26432641	+
chr1	DHDDS	26432281	26432376	26432281	26432492	+
chr1	DHDDS	26432365	26432395	26432365	26432492	+
chr1	DHDDS	26432366	26432415	26432366	26432492	+
chr1	DHDDS	26432366	26432415	26432366	26432723	+
chr1	DHDDS	26432367	26432518	26432367	26432723	+
chr1	DHDDS	26432370	26432594	26432370	26432723	+
chr1	DHDDS	26432370	26432641	26432370	26432723	+
chr1	DHDDS	26432370	26432492	26432370	26432723	+
chr1	ARID1A	26696014	26696100	26696014	26697540	+
chr1	PIGV	26794112	26795214	26794112	26795234	+
chr1	PIGV	26787949	26787989	26787949	26788268	+
chr1	PIGV	26787949	26788268	26787949	26788394	+
chr1	PIGV	26787949	26788268	26787949	26788819	+
chr1	PIGV	26788176	26788394	26788176	26788819	+
chr1	ZDHHC18	26832003	26832053	26832003	26832072	+
chr1	TRNP1	26993691	26994612	26993691	26994630	+
chr1	AL445490.1	27669467	27669540	27669467	27669586	+
chr1	PPP1R8	27830781	27830891	27830781	27831366	+
chr1	PPP1R8	27830813	27831246	27830813	27831366	+
chr1	PPP1R8	27830781	27830891	27830781	27831246	+
chr1	THEMIS2	27872542	27872640	27872542	27872665	+
chr1	THEMIS2	27881970	27882077	27881970	27882125	+
chr1	MED18	28329001	28329124	28329001	28329180	+
chr1	PHACTR4	28457831	28457855	28457831	28457859	+
chr1	RCC1	28508829	28508901	28508829	28508905	+
chr1	RCC1	28516724	28516853	28516724	28516867	+
chr1	RCC1	28530522	28530573	28530522	28530615	+
chr1	YTHDF2	28738258	28738329	28738258	28738338	+
chr1	EPB41	29068732	29068768	29068732	29068783	+
chr1	EPB41	29068732	29068768	29068732	29068783	+
chr1	EPB41	28914543	28914768	28914543	28914773	+
chr1	EPB41	29068732	29068768	29068732	29068783	+
chr1	PTPRU	29311345	29311544	29311345	29311553	+
chr1	MATN1-AS1	30718503	30719565	30718503	30721174	+
chr1	MATN1-AS1	30718503	30719232	30718503	30721174	+
chr1	MATN1-AS1	30718771	30719232	30718771	30719565	+
chr1	ZCCHC17	31296981	31297096	31296981	31297213	+
chr1	ZCCHC17	31296981	31297075	31296981	31297213	+
chr1	ZCCHC17	31346639	31346740	31346639	31346818	+
chr1	LDC1P	31501352	31501527	31501352	31501539	+
chr1	PEF1-AS1	31644988	31645120	31644988	31645146	+
chr1	PEF1-AS1	31645016	31645138	31645016	31645146	+
chr1	PEF1-AS1	31644988	31645120	31644988	31645138	+
chr1	PEF1-AS1	31645252	31645341	31645252	31645382	+
chr1	PEF1-AS1	31655910	31656044	31655910	31656185	+
chr1	KPNA6	32156852	32156927	32156852	32156945	+
chr1	IQCC	32205670	32205723	32205670	32205963	+
chr1	EIF3I	32226104	32226283	32226104	32226320	+
chr1	EIF3I	32227613	32228816	32227613	32229208	+
chr1	EIF3I	32228726	32228816	32228726	32229024	+
chr1	EIF3I	32226104	32226283	32226104	32226320	+
chr1	RBBP4	32651484	32651715	32651484	32651822	+
chr1	RBBP4	32679634	32679698	32679634	32679817	+
chr1	S100PBP	32817441	32817599	32817441	32817689	+
chr1	S100PBP	32824896	32825429	32824896	32825485	+
chr1	AL513327.1	33307347	33307437	33307347	33307449	+
chr1	ZSCAN20	33472644	33472687	33472644	33472691	+
chr1	CSMD2-AS1	33870167	33870424	33870167	33870494	+
chr1	ZMYM1	35093913	35094009	35093913	35094083	+
chr1	NCDN	35557472	35557883	35557472	35558223	+
chr1	C1ORF122	37807746	37808306	37807746	37808439	+
chr1	LINC01685	38513884	38513937	38513884	38514011	+
chr1	NDUFS5	39026317	39026398	39026317	39026402	+
chr1	MACF1	39268464	39269687	39268464	39269720	+
chr1	PPIE	39738878	39738923	39738878	39738931	+
chr1	PPIE	39741894	39741921	39741894	39742031	+
chr1	PPIE	39745374	39745498	39745374	39748767	+
chr1	MFSD2A	39955111	39955379	39955111	39955385	+
chr1	CAP1	40040232	40040467	40040232	40040783	+
chr1	CAP1	40040232	40040783	40040232	40040801	+
chr1	CAP1	40040232	40040783	40040232	40040801	+
chr1	CAP1	40040232	40040783	40040232	40040801	+
chr1	EXO5	40508746	40508908	40508746	40509790	+
chr1	EXO5	40508740	40508877	40508740	40509790	+
chr1	EXO5	40508746	40508889	40508746	40509790	+
chr1	EXO5	40508746	40509349	40508746	40509790	+
chr1	EXO5	40508740	40508877	40508740	40508908	+
chr1	EXO5	40508753	40508889	40508753	40508908	+
chr1	EXO5	40508740	40508877	40508740	40508889	+
chr1	EXO5	40508740	40508877	40508740	40508908	+
chr1	EXO5	40508753	40508889	40508753	40508908	+
chr1	EXO5	40508740	40508877	40508740	40508908	+
chr1	EXO5	40508740	40508877	40508740	40508889	+
chr1	PPCS	42456538	42456628	42456538	42457073	+
chr1	CCDC30	42463220	42463890	42463220	42463898	+
chr1	CCDC30	42463220	42463657	42463220	42463898	+
chr1	CCDC30	42498817	42498892	42498817	42498916	+
chr1	CCDC30	42463223	42463657	42463223	42463890	+
chr1	CCDC30	42498817	42498892	42498817	42498916	+
chr1	CCDC30	42463220	42463657	42463220	42463898	+
chr1	CCDC30	42463220	42463657	42463220	42463898	+
chr1	PPIH	42659227	42659251	42659227	42659370	+
chr1	ERMAP	42825559	42825735	42825559	42825738	+
chr1	ERMAP	42835731	42835760	42835731	42835764	+
chr1	FAM183A	43147866	43148084	43147866	43148091	+
chr1	FAM183A	43152757	43152931	43152757	43152979	+
chr1	CFAP57	43172329	43172402	43172329	43172453	+
chr1	CFAP57	43219381	43219537	43219381	43219631	+
chr1	SZT2	43419733	43419944	43419733	43419961	+
chr1	PTPRF	43603415	43603527	43603415	43603533	+
chr1	ST3GAL3	43801281	43801541	43801281	43801545	+
chr1	ST3GAL3	43814890	43814933	43814890	43815004	+
chr1	ST3GAL3	43736232	43736380	43736232	43736425	+
chr1	ST3GAL3	43899066	43899263	43899066	43899289	+
chr1	ST3GAL3	43736232	43736380	43736232	43736425	+
chr1	ST3GAL3	43920781	43920928	43920781	43920940	+
chr1	ST3GAL3	43899066	43899263	43899066	43899289	+
chr1	ST3GAL3	43898211	43898298	43898211	43898438	+
chr1	DPH2	43969999	43970270	43969999	43970322	+
chr1	DPH2	43969999	43970314	43969999	43970322	+
chr1	DPH2	43969999	43970312	43969999	43970322	+
chr1	DPH2	43970595	43970708	43970595	43970817	+
chr1	DPH2	43971386	43971540	43971386	43972070	+
chr1	DPH2	43969999	43970270	43969999	43970314	+
chr1	DPH2	43970066	43970312	43970066	43970314	+
chr1	DPH2	43969999	43970270	43969999	43970312	+
chr1	ATP6V0B	43974943	43975107	43974943	43975297	+
chr1	ATP6V0B	43974943	43975107	43974943	43975307	+
chr1	B4GALT2	43979178	43979511	43979178	43979616	+
chr1	B4GALT2	43979876	43980046	43979876	43980614	+
chr1	AL139220.2	44030436	44030468	44030436	44030557	+
chr1	AL139220.2	44044579	44044758	44044579	44045269	+
chr1	AL139220.2	44050949	44051107	44050949	44051158	+
chr1	AL139220.2	44050949	44051494	44050949	44051531	+
chr1	DMAP1	44213454	44213527	44213454	44213662	+
chr1	RNF220	44405193	44405526	44405193	44405530	+
chr1	RNF220	44635544	44635588	44635544	44635666	+
chr1	RNF220	44631731	44632208	44631731	44632212	+
chr1	KIF2C	44739817	44740002	44739817	44740042	+
chr1	RPS8	44776674	44776714	44776674	44776774	+
chr1	RPS8	44777225	44777737	44777225	44777789	+
chr1	BTBD19	44810212	44810249	44810212	44810426	+
chr1	RAD54L	46248511	46248598	46248511	46248623	+
chr1	RAD54L	46260726	46261015	46260726	46261074	+
chr1	UQCRH	46309100	46309127	46309100	46309143	+
chr1	NSUN4	46344781	46344962	46344781	46345144	+
chr1	NSUN4	46341186	46341497	46341186	46341865	+
chr1	NSUN4	46341186	46341865	46341186	46344294	+
chr1	SLC5A9	48229102	48229165	48229102	48229177	+
chr1	OSBPL9	51669433	51669512	51669433	51669814	+
chr1	OSBPL9	51729807	51730001	51729807	51730124	+
chr1	AL050343.2	51793933	51794053	51793933	51794074	+
chr1	CPT2	53210014	53211250	53210014	53211319	+
chr1	CPT2	53210014	53211250	53210014	53211369	+
chr1	CPT2	53210014	53211319	53210014	53211369	+
chr1	CPT2	53210014	53211250	53210014	53211319	+
chr1	DIO1	53894186	53894438	53894186	53894547	+
chr1	DIO1	53894186	53894355	53894186	53894547	+
chr1	DIO1	53894188	53894355	53894188	53894438	+
chr1	MRPL37	54200166	54200241	54200166	54200589	+
chr1	DHCR24-DT	54887562	54887783	54887562	54887976	+
chr1	DHCR24-DT	54887726	54887968	54887726	54887976	+
chr1	LINC01767	56414934	56415150	56414934	56415609	+
chr1	LINC01767	56415247	56415342	56415247	56415353	+
chr1	LINC01767	56414938	56415609	56414938	56415695	+
chr1	DAB1-AS1	57860531	57860919	57860531	57860926	+
chr1	DAB1-AS1	57860531	57860909	57860531	57860926	+
chr1	DAB1-AS1	57860531	57860872	57860531	57860926	+
chr1	DAB1-AS1	57860531	57860926	57860531	57861033	+
chr1	DAB1-AS1	57860531	57860919	57860531	57861033	+
chr1	DAB1-AS1	57860531	57860909	57860531	57861033	+
chr1	DAB1-AS1	57860531	57860935	57860531	57861033	+
chr1	DAB1-AS1	57860531	57860872	57860531	57861033	+
chr1	DAB1-AS1	57860556	57860909	57860556	57860919	+
chr1	DAB1-AS1	57860556	57860872	57860556	57860919	+
chr1	DAB1-AS1	57860561	57860872	57860561	57860909	+
chr1	DAB1-AS1	57860556	57860872	57860556	57860919	+
chr1	DAB1-AS1	57860531	57860926	57860531	57860935	+
chr1	DAB1-AS1	57860556	57860919	57860556	57860935	+
chr1	DAB1-AS1	57860561	57860909	57860561	57860935	+
chr1	DAB1-AS1	57860580	57860872	57860580	57860935	+
chr1	DAB1-AS1	57860531	57860919	57860531	57861033	+
chr1	DAB1-AS1	57860531	57860872	57860531	57861033	+
chr1	DAB1-AS1	57860531	57860926	57860531	57861033	+
chr1	DAB1-AS1	57860531	57860919	57860531	57860926	+
chr1	DAB1-AS1	57860531	57860872	57860531	57860926	+
chr1	DAB1-AS1	57862454	57862519	57862454	57863040	+
chr1	DAB1-AS1	57862454	57862927	57862454	57863040	+
chr1	DAB1-AS1	57862454	57862519	57862454	57863040	+
chr1	DAB1-AS1	57862454	57862519	57862454	57862927	+
chr1	DAB1-AS1	57862454	57862927	57862454	57863040	+
chr1	DAB1-AS1	57862454	57862519	57862454	57863040	+
chr1	LINC01358	59056406	59056749	59056406	59057032	+
chr1	USP1	62436296	62436467	62436296	62436562	+
chr1	ATG4C	62784131	62784225	62784131	62784273	+
chr1	ALG6	63411145	63411155	63411145	63411331	+
chr1	ALG6	63370770	63371059	63370770	63371287	+
chr1	EFCAB7	63523371	63523569	63523371	63523634	+
chr1	MIER1	66984571	66984592	66984571	66984652	+
chr1	LINC01707	69192433	69192586	69192433	69192610	+
chr1	HHLA3	70354804	70355107	70354804	70355111	+
chr1	HHLA3	70354804	70355107	70354804	70355208	+
chr1	HHLA3	70354810	70355111	70354810	70355208	+
chr1	HHLA3	70354804	70355107	70354804	70355208	+
chr1	ZRANB2-AS2	71237129	71237195	71237129	71237386	+
chr1	ZRANB2-AS2	71202034	71202056	71202034	71202131	+
chr1	ZRANB2-AS2	71202034	71202056	71202034	71202131	+
chr1	ZRANB2-AS2	71237129	71237195	71237129	71237386	+
chr1	ZRANB2-AS2	71407632	71407815	71407632	71407871	+
chr1	ZRANB2-AS2	71487990	71488047	71487990	71488148	+
chr1	ZRANB2-AS2	71486397	71486513	71486397	71486534	+
chr1	LINC01360	73305608	73306274	73305608	73306297	+
chr1	LINC01360	73307167	73307363	73307167	73307384	+
chr1	LINC01360	73305608	73306274	73305608	73306297	+
chr1	FPGT	74199663	74199831	74199663	74199845	+
chr1	FPGT	74198211	74198360	74198211	74198426	+
chr1	AC092813.1	75932453	75932616	75932453	75932670	+
chr1	MIGA1	77783237	77783267	77783237	77783351	+
chr1	DNAJB4	77979174	77979293	77979174	77979619	+
chr1	MGC27382	78250183	78250373	78250183	78251010	+
chr1	IFI44L	78627905	78628018	78627905	78628393	+
chr1	IFI44	78662615	78662878	78662615	78662917	+
chr1	ADGRL2	81800375	81800479	81800375	81800512	+
chr1	ADGRL2	81989656	81989695	81989656	81989709	+
chr1	LINC01362	82903182	82903454	82903182	82903823	+
chr1	LINC01362	82952671	82952728	82952671	82952837	+
chr1	SAMD13	84301655	84301801	84301655	84302014	+
chr1	LINC01140	87132611	87132863	87132611	87132912	+
chr1	LINC01140	87131954	87132252	87131954	87132259	+
chr1	AC092805.1	90719575	90719702	90719575	90719706	+
chr1	BRDT	91949370	91949488	91949370	91949682	+
chr1	BRDT	91968145	91968260	91968145	91968272	+
chr1	BRDT	91949371	91949488	91949371	91949519	+
chr1	BRDT	91949889	91949958	91949889	91950474	+
chr1	BRDT	91949370	91949488	91949370	91949682	+
chr1	RPL5	92832012	92832117	92832012	92832251	+
chr1	CCDC18	93179918	93180279	93179918	93180418	+
chr1	CCDC18	93179918	93180418	93179918	93180882	+
chr1	CCDC18	93180362	93180852	93180362	93180882	+
chr1	ARHGAP29-AS1	94247818	94248039	94247818	94248134	+
chr1	SLC44A3	94827438	94827547	94827438	94827643	+
chr1	RWDD3	95244210	95244651	95244210	95244698	+
chr1	LINC02790	95991976	95992122	95991976	95992238	+
chr1	LINC02790	96006169	96006421	96006169	96006425	+
chr1	PTBP2	96721664	96721872	96721664	96721896	+
chr1	AL445433.2	99144035	99144130	99144035	99144151	+
chr1	AGL	99850488	99850618	99850488	99850898	+
chr1	SLC35A3	99969350	99970162	99969350	99970300	+
chr1	SLC35A3	99993536	99993741	99993536	99993745	+
chr1	VCAM1	100720475	100720565	100720475	100720751	+
chr1	AC093157.1	101025843	101025947	101025843	101026061	+
chr1	RNPC3	103525690	103525823	103525690	103526262	+
chr1	RNPC3	103525696	103525823	103525696	103525930	+
chr1	AL355306.2	106041831	106041911	106041831	106042040	+
chr1	LINC02785	108050358	108050735	108050358	108050788	+
chr1	GPSM2	108918612	108918789	108918612	108919150	+
chr1	TMEM167B	109092889	109093021	109092889	109093082	+
chr1	ELAPOR1	109113678	109113915	109113678	109113992	+
chr1	ELAPOR1	109113910	109113988	109113910	109113992	+
chr1	CYB561D1	109494051	109494154	109494051	109494287	+
chr1	CYB561D1	109494051	109494154	109494051	109494287	+
chr1	GPR61	109545310	109545373	109545310	109545389	+
chr1	AMPD2	109630232	109630406	109630232	109630439	+
chr1	GSTM4	109656711	109657279	109656711	109657671	+
chr1	GSTM2	109668424	109668483	109668424	109668500	+
chr1	AHCYL1	109984764	109985172	109984764	109985543	+
chr1	RBM15	110338505	110342181	110338505	110342268	+
chr1	LAMTOR5-AS1	110407524	110407815	110407524	110407954	+
chr1	LAMTOR5-AS1	110418246	110418366	110418246	110418375	+
chr1	LAMTOR5-AS1	110407524	110407954	110407524	110409158	+
chr1	LAMTOR5-AS1	110407627	110407815	110407627	110409158	+
chr1	LAMTOR5-AS1	110407783	110408227	110407783	110409158	+
chr1	LAMTOR5-AS1	110418246	110418366	110418246	110418375	+
chr1	LAMTOR5-AS1	110418246	110418366	110418246	110418375	+
chr1	AL358215.3	110484826	110484944	110484826	110485078	+
chr1	CHI3L2	111234906	111235000	111234906	111235057	+
chr1	CHI3L2	111229691	111229810	111229691	111229881	+
chr1	CHIAP2	111281550	111281752	111281550	111281861	+
chr1	RAP1A	111627468	111627559	111627468	111627563	+
chr1	INKA2-AS1	111739578	111740077	111739578	111740098	+
chr1	KCND3-AS1	111910122	111910276	111910122	111910313	+
chr1	SLC16A1-AS1	112956414	112956956	112956414	112957722	+
chr1	AL137856.1	113812378	113812612	113812378	113812825	+
chr1	HIPK1	113957123	113957184	113957123	113957286	+
chr1	VANGL1	115659640	115659767	115659640	115659773	+
chr1	LINC01649	115922366	115922445	115922366	115922566	+
chr1	LINC01525	117296519	117296633	117296519	117296801	+
chr1	HSD3B1	119507197	119507219	119507197	119507262	+
chr1	PHGDH	119741766	119741876	119741766	119741897	+
chr1	PHGDH	119719626	119721321	119719626	119721654	+
chr1	PHGDH	119721169	119721334	119721169	119721654	+
chr1	PHGDH	119724784	119724875	119724784	119724957	+
chr1	PHGDH	119724784	119724875	119724784	119724967	+
chr1	PHGDH	119724784	119724957	119724784	119724967	+
chr1	PHGDH	119719626	119721321	119719626	119721334	+
chr1	NBPF26	120822103	120822156	120822103	120822267	+
chr1	NBPF26	120805296	120805453	120805296	120805458	+
chr1	FCGR1B	121094673	121094958	121094673	121095021	+
chr1	GNRHR2	145919012	145919419	145919012	145919569	+
chr1	LIX1L-AS1	145947096	145947145	145947096	145947361	+
chr1	LIX1L-AS1	145927235	145927657	145927235	145927794	+
chr1	LINC01719	146057693	146057988	146057693	146058461	+
chr1	NBPF12	146959858	146960006	146959858	146960011	+
chr1	CHD1L	147256530	147256562	147256530	147256570	+
chr1	CHD1L	147270903	147271005	147270903	147271113	+
chr1	CHD1L	147272170	147272281	147272170	147272630	+
chr1	CHD1L	147270931	147271005	147270931	147271195	+
chr1	CHD1L	147270903	147271113	147270903	147271195	+
chr1	CHD1L	147242910	147243167	147242910	147243190	+
chr1	BCL9	147612882	147612977	147612882	147613199	+
chr1	LINC02805	148162755	148163815	148162755	148163866	+
chr1	LINC02805	148162359	148162992	148162359	148163588	+
chr1	LINC02805	148162709	148162992	148162709	148163815	+
chr1	LINC02805	148162755	148163815	148162755	148163866	+
chr1	AC245100.4	148427835	148427943	148427835	148427958	+
chr1	AC245100.4	148424626	148424638	148424626	148424678	+
chr1	AC245100.4	148427814	148427958	148427814	148427992	+
chr1	AC245100.4	148427814	148427943	148427814	148427992	+
chr1	PDE4DIP	149001590	149001696	149001590	149002026	+
chr1	PDE4DIP	148951936	148952154	148951936	148953905	+
chr1	LINC00869	149646598	149646654	149646598	149646945	+
chr1	LINC00869	149636488	149636693	149636488	149636716	+
chr1	LINC00869	149646598	149646945	149646598	149647064	+
chr1	H4C14	149832667	149833114	149832667	149833864	+
chr1	BOLA1	149899459	149899672	149899459	149899730	+
chr1	VPS45	150067278	150067606	150067278	150067950	+
chr1	SETDB1	150926262	150926348	150926262	150926517	+
chr1	SETDB1	150926338	150926463	150926338	150926517	+
chr1	SETDB1	150926262	150926348	150926262	150926531	+
chr1	SETDB1	150926338	150926517	150926338	150926531	+
chr1	SETDB1	150926344	150926463	150926344	150926531	+
chr1	SETDB1	150926338	150926517	150926338	150926544	+
chr1	SETDB1	150926344	150926531	150926344	150926544	+
chr1	BNIPL	151038398	151038564	151038398	151038568	+
chr1	SCNM1	151166021	151166203	151166021	151166252	+
chr1	PIP5K1A	151198550	151199081	151198550	151199187	+
chr1	PSMD4	151266003	151266112	151266003	151266121	+
chr1	PSMD4	151266003	151266121	151266003	151266198	+
chr1	PSMD4	151266003	151266112	151266003	151266198	+
chr1	PSMB4	151399980	151400185	151399980	151400187	+
chr1	SNX27	151612005	151612381	151612005	151612512	+
chr1	SNX27	151612005	151612381	151612005	151612512	+
chr1	AL450992.1	152018626	152018837	152018626	152018839	+
chr1	FLG-AS1	152189302	152189508	152189302	152189655	+
chr1	FLG-AS1	152189302	152189481	152189302	152189655	+
chr1	FLG-AS1	152189302	152189481	152189302	152189508	+
chr1	FLG-AS1	152189302	152189481	152189302	152189508	+
chr1	LCE1E	152786213	152786307	152786213	152786363	+
chr1	CREB3L4	153968521	153968639	153968521	153968699	+
chr1	CREB3L4	153967891	153968164	153967891	153968184	+
chr1	UBAP2L	154234590	154234738	154234590	154234759	+
chr1	UBAP2L	154234590	154234759	154234590	154234792	+
chr1	UBAP2L	154234590	154234738	154234590	154234792	+
chr1	UBAP2L	154220848	154220975	154220848	154221040	+
chr1	HAX1	154272867	154273534	154272867	154273598	+
chr1	IL6R	154430482	154430595	154430482	154430606	+
chr1	TDRD10	154547408	154547479	154547408	154547568	+
chr1	CHRNB2	154569772	154569836	154569772	154569842	+
chr1	CKS1B	154974652	154974804	154974652	154974912	+
chr1	FLAD1	154990158	154990257	154990158	154990528	+
chr1	ADAM15	155061903	155061975	155061903	155062117	+
chr1	SLC50A1	155135343	155135598	155135343	155135680	+
