chrom	gene	exonStart	exonEnd	strand
chr1	SELENOF	86880661	86880725	-
chr1	GBP2	89106131	89108291	-
chr1	LINC02609	90835825	90836174	-
chr1	CCDC18-AS1	93337376	93339274	-
chr1	SLC44A3-AS1	94622718	94624609	-
chr1	SLC44A3-AS1	94622718	94624609	-
chr1	COL11A1	103001259	103001969	-
chr1	LINC01677	105952503	105953712	-
chr1	CLCC1	108962308	108963453	-
chr1	PSRC1	109280776	109281251	-
chr1	PSRC1	109280776	109281251	-
chr1	PSRC1	109282679	109283122	-
chr1	KCNA2	110593579	110602170	-
chr1	KCNA2	110593579	110604106	-
chr1	KCNA2	110593579	110604106	-
chr1	PPM1J	112712743	112713031	-
chr1	TRIM45	117111059	117112453	-
chr1	PIAS3	145856588	145857006	-
chr1	FMO5	147224894	147225339	-
chr1	AC239809.3	148226493	148226798	-
chr1	NBPF14	148595542	148595752	-
chr1	NBPF14	148595542	148595890	-
chr1	NBPF14	148595542	148595890	-
chr1	NBPF9	149081964	149082311	-
chr1	TDRKH	151774412	151774504	-
chr1	TDRKH	151773493	151774504	-
chr1	AL162258.1	153632033	153632240	-
chr1	JTB	153976692	153977013	-
chr1	SHE	154479480	154486062	-
chr1	ADAR	154601040	154602626	-
chr1	GBAP1	155215562	155215787	-
chr1	GBAP1	155216383	155217029	-
chr1	GBAP1	155217239	155218049	-
chr1	GON4L	155764999	155766709	-
chr1	KHDC4	155913044	155915964	-
chr1	ARHGEF2	155950828	155951272	-
chr1	PAQR6	156245781	156246250	-
chr1	IQGAP3	156525404	156526599	-
chr1	HDGF	156742109	156743455	-
chr1	FCRL3	157676480	157678856	-
chr1	FCRL3	157676480	157678856	-
chr1	LINC01704	158132039	158132656	-
chr1	LINC01704	158132045	158133193	-
chr1	AIM2	159065909	159066329	-
chr1	SNHG28	159837916	159840866	-
chr1	SNHG28	159837916	159840866	-
chr1	SNHG28	159837916	159840866	-
chr1	SNHG28	159838364	159840866	-
chr1	SNHG28	159838364	159840866	-
chr1	SNHG28	159838364	159840866	-
chr1	SNHG28	159834501	159840866	-
chr1	SNHG28	159834522	159836155	-
chr1	SNHG28	159834526	159836155	-
chr1	SNHG28	159837916	159841235	-
chr1	SNHG28	159837916	159841235	-
chr1	SNHG28	159837916	159841235	-
chr1	SNHG28	159837916	159840881	-
chr1	TSTD1	161037630	161038075	-
chr1	DEDD	161124137	161124526	-
chr1	DEDD	161124137	161124526	-
chr1	NR1I3	161230812	161231245	-
chr1	NR1I3	161230812	161231245	-
chr1	MPZ	161304734	161305977	-
chr1	CD247	167430639	167431746	-
chr1	GAS5	173864483	173864704	-
chr1	GAS5	173863900	173864304	-
chr1	GAS5	173864256	173864704	-
chr1	GAS5	173864256	173864704	-
chr1	GAS5	173864256	173865282	-
chr1	GAS5	173866527	173866796	-
chr1	GAS5	173865228	173865547	-
chr1	GAS5	173865228	173865547	-
chr1	GAS5	173864256	173864506	-
chr1	GAS5	173865856	173866206	-
chr1	CRYZL2P-SEC16B	177958839	177960939	-
chr1	ABL2	179107717	179109441	-
chr1	LINC01344	182127296	182127927	-
chr1	MIR181A1HG	198897809	198900569	-
chr1	TNNT2	201372026	201372155	-
chr1	LMOD1	201899236	201900751	-
chr1	LINC00303	204036968	204037588	-
chr1	PIK3C2B	204445955	204446144	-
chr1	KLHDC8A	205343228	205343793	-
chr1	SLC26A9	205913053	205915404	-
chr1	RAB7B	205976740	205978928	-
chr1	PROX1-AS1	213915934	213916099	-
chr1	LINC02817	221332155	221333985	-
chr1	LINC02817	221332155	221333985	-
chr1	LINC02817	221332155	221333985	-
chr1	LINC02817	221332155	221333985	-
chr1	PYCR2	225922203	225922383	-
chr1	LEFTY2	225939755	225940002	-
chr1	MRPL55	228108436	228109021	-
chr1	MRPL55	228108436	228109016	-
chr1	MRPL55	228108436	228109031	-
chr1	C1ORF131	231223762	231225523	-
chr1	PCNX2	232984135	232986540	-
chr1	LINC01354	234531015	234531792	-
chr1	LINC01354	234531015	234531792	-
chr1	LINC01139	238485784	238486044	-
chr1	LINC01347	243087709	243088232	-
chr1	CEP170	243185778	243186422	-
chr1	OR2B11	247449117	247455064	-
chr1	ZNF692	248855557	248855946	-
chr2	MYT1L	1789146	1792464	-
chr2	MYT1L	1789146	1792464	-
chr2	MYT1L	1789168	1792007	-
chr2	MYT1L	1789313	1792464	-
chr2	LINC01304	3959563	3960556	-
chr2	MIR7515HG	6617201	6618315	-
chr2	GRASLND	6915822	6917224	-
chr2	GRASLND	6915822	6917224	-
chr2	GRASLND	6915822	6917224	-
chr2	GRASLND	6915822	6917224	-
chr2	ID2-AS1	8675743	8676029	-
chr2	ITGB1BP1	9406660	9407598	-
chr2	AC064875.1	13002423	13003951	-
chr2	AC064875.1	13002423	13003951	-
chr2	AC104623.2	16541689	16545695	-
chr2	NT5C1B	18584513	18584978	-
chr2	LDAH	20685546	20687094	-
chr2	ADCY3	24918312	24919839	-
chr2	HADHA	26190654	26191628	-
chr2	OTOF	26477648	26478042	-
chr2	OST4	27071325	27071649	-
chr2	EIF2B4	27367745	27367822	-
chr2	EIF2B4	27369875	27369919	-
chr2	IFT172	27457840	27458223	-
chr2	IFT172	27449293	27449562	-
chr2	IFT172	27453981	27454418	-
chr2	IFT172	27458778	27459522	-
chr2	IFT172	27453629	27454418	-
chr2	SUPT7L	27660983	27662281	-
chr2	SUPT7L	27660983	27662281	-
chr2	HNRNPLL	38602437	38603036	-
chr2	SRSF7	38748578	38749705	-
chr2	CDKL4	39178546	39179321	-
chr2	LINC01819	43028913	43029897	-
chr2	LINC01819	43032733	43033526	-
chr2	CCDC88A	55295596	55296056	-
chr2	CCDC88A	55290654	55291775	-
chr2	PNPT1	55680711	55680918	-
chr2	EFEMP1	55922359	55922691	-
chr2	EFEMP1	55922359	55922691	-
chr2	EFEMP1	55922359	55922747	-
chr2	EFEMP1	55922359	55922747	-
chr2	BCL11A	60460681	60462424	-
chr2	XPO1	61498672	61498913	-
chr2	XPO1	61498672	61498913	-
chr2	XPO1	61537561	61538356	-
chr2	XPO1	61537561	61538231	-
chr2	PCBP1-AS1	69996685	69996888	-
chr2	PCBP1-AS1	70085815	70086273	-
chr2	PCBP1-AS1	70085815	70086273	-
chr2	PCBP1-AS1	70048706	70051305	-
chr2	PCBP1-AS1	70049195	70051305	-
chr2	PCBP1-AS1	70049201	70051305	-
chr2	DCTN1	74366243	74366620	-
chr2	MOGS	74463189	74463386	-
chr2	MOGS	74464895	74465400	-
chr2	REG3A	79159329	79159753	-
chr2	REG3A	79159329	79159753	-
chr2	TGOLN2	85326507	85327685	-
chr2	CAPG	85401528	85401683	-
chr2	ST3GAL5	85847860	85848204	-
chr2	RNF103	86622660	86623865	-
chr2	LINC00342	95813315	95813957	-
chr2	LINC00342	95813315	95813957	-
chr2	AC092683.1	97422438	97422659	-
chr2	LINC02611	98771618	98772142	-
chr2	MITD1	99169262	99169610	-
chr2	REV1	99402243	99402800	-
chr2	PANTR1	104807584	104812618	-
chr2	AC010978.1	105856669	105857177	-
chr2	AC010978.1	105856669	105857177	-
chr2	EDAR	108910775	108911072	-
chr2	NPHP1	110163047	110164730	-
chr2	NPHP1	110163047	110164730	-
chr2	NPHP1	110163047	110164730	-
chr2	NPHP1	110163047	110164730	-
chr2	NPHP1	110163047	110164730	-
chr2	AC112229.1	110423660	110424142	-
chr2	MIR4435-2HG	111365560	111367575	-
chr2	MIR4435-2HG	111365560	111367575	-
chr2	ZC3H8	112230902	112230950	-
chr2	AC079922.2	112642082	112643293	-
chr2	CKAP2L	112755976	112757214	-
chr2	POTEI	130465651	130465772	-
chr2	CACNB4	151869176	151870611	-
chr2	CACNB4	151869176	151870611	-
chr2	CACNB4	151869176	151870611	-
chr2	NR4A2	156326149	156326328	-
chr2	BAZ2B	159404848	159404910	-
chr2	PLA2R1	159932005	159941992	-
chr2	ITGB6	160200002	160200304	-
chr2	SCN1A	165989159	165994416	-
chr2	METTL5	169824488	169824905	-
chr2	MYO3B-AS1	170344798	170345132	-
chr2	MYO3B-AS1	170344798	170345215	-
chr2	AC073636.1	176844837	176846377	-
chr2	AC073636.1	176844840	176846377	-
chr2	ZNF385B	179441981	179443468	-
chr2	OSGEPL1	189761419	189761660	-
chr2	ORMDL1	189782421	189783123	-
chr2	SF3B1	197418895	197420542	-
chr2	SF3B1	197418895	197420542	-
chr2	SF3B1	197418795	197420542	-
chr2	CFLAR-AS1	201148733	201149200	-
chr2	FN1	215371908	215372375	-
chr2	FN1	215371908	215372300	-
chr2	CFAP65	219029402	219030208	-
chr2	CNPPD1	219174777	219175108	-
chr2	CUL3	224503651	224503822	-
chr2	MFF-DT	227264668	227268769	-
chr2	MFF-DT	227265874	227268769	-
chr2	SLC19A3	227702168	227702691	-
chr2	NDUFA10	240011616	240014860	-
chr2	NDUFA10	240011616	240014860	-
chr2	NDUFA10	240011616	240014860	-
chr2	NDUFA10	240011616	240014860	-
chr2	NDUFA10	240011616	240014860	-
chr2	ANKMY1	240523884	240524381	-
chr2	HDLBP	241268953	241269295	-
chr2	HDLBP	241268953	241269295	-
chr2	STK25	241508005	241508362	-
chr2	RPS7	3575324	3575684	+
chr2	RPS7	3575357	3575684	+
chr2	AC013460.1	7428542	7429872	+
chr2	AC013460.1	7428542	7429872	+
chr2	MIR3681HG	12131305	12131585	+
chr2	DDX1	15628444	15628839	+
chr2	DDX1	15628444	15628839	+
chr2	DDX1	15627053	15628710	+
chr2	DDX1	15628444	15628710	+
chr2	DDX1	15628637	15628839	+
chr2	DDX1	15627053	15628839	+
chr2	DDX1	15627053	15628839	+
chr2	LINC00954	19881566	19882260	+
chr2	LINC00954	19881566	19882260	+
chr2	LINC01884	22537004	22538291	+
chr2	TMEM214	27040710	27041694	+
chr2	CAD	27242619	27242973	+
chr2	LINC01936	30349936	30352431	+
chr2	LINC00486	32928031	32928405	+
chr2	LINC01913	41876762	41877778	+
chr2	AHSA2P	61185501	61186497	+
chr2	UGP2	63885588	63885886	+
chr2	AC012368.1	64251118	64251834	+
chr2	AC007389.1	65732892	65733389	+
chr2	TTC31	74490655	74491184	+
chr2	TTC31	74492138	74492445	+
chr2	ELMOD3	85355075	85357252	+
chr2	ELMOD3	85390137	85391748	+
chr2	ELMOD3	85371085	85371562	+
chr2	SH2D6	85436465	85437029	+
chr2	SH2D6	85436465	85437029	+
chr2	USP39	85648760	85649280	+
chr2	KDM3A	86477876	86478265	+
chr2	KDM3A	86478607	86480362	+
chr2	KDM3A	86482457	86484158	+
chr2	KDM3A	86489519	86491057	+
chr2	ANKRD36BP2	88804379	88804880	+
chr2	GPAT2P1	95796488	95797160	+
chr2	AC159540.2	97285302	97285523	+
chr2	AC159540.2	97284877	97285523	+
chr2	RPL31	101002292	101002808	+
chr2	LINC01102	104505865	104507406	+
chr2	LINC01102	104505865	104507406	+
chr2	LINC01102	104505865	104507406	+
chr2	LINC01102	104505865	104507406	+
chr2	LINC01102	104505865	104507406	+
chr2	LINC01102	104518058	104518401	+
chr2	LINC01102	104506590	104507406	+
chr2	C2ORF49	105342847	105343223	+
chr2	AC013268.1	109947363	109947845	+
chr2	BCL2L11	111123732	111124139	+
chr2	BCL2L11	111123745	111124139	+
chr2	MERTK	111997322	111997476	+
chr2	CHCHD5	112585973	112586365	+
chr2	PAX8-AS1	113255389	113259584	+
chr2	FAM138B	113577981	113578852	+
chr2	WASH2P	113595692	113596203	+
chr2	GLI2	120988207	120991380	+
chr2	PROC	127423033	127423408	+
chr2	PROC	127423033	127423408	+
chr2	POTEE	131261725	131261846	+
chr2	UBXN4	135753538	135754277	+
chr2	LINC02631	138601617	138602441	+
chr2	LINC02612	150634635	150635356	+
chr2	LINC02612	150634635	150635344	+
chr2	SCN2A	165326851	165328538	+
chr2	SCN1A-AS1	166248194	166249384	+
chr2	AC007405.3	170776502	170777425	+
chr2	HNRNPA3	177219246	177221976	+
chr2	CHROMR	178426365	178430889	+
chr2	CHROMR	178426365	178430889	+
chr2	CHROMR	178426365	178430889	+
chr2	CHROMR	178426365	178430889	+
chr2	CHROMR	178426365	178430889	+
chr2	CHROMR	178426365	178430889	+
chr2	CHROMR	178426365	178430889	+
chr2	TTN-AS1	178537360	178537691	+
chr2	TTN-AS1	178774226	178778755	+
chr2	TTN-AS1	178774226	178778755	+
chr2	TTN-AS1	178777857	178778755	+
chr2	FAM171B	186747091	186747250	+
chr2	NABP1	191685598	191696662	+
chr2	SLC39A10	195680031	195681050	+
chr2	CCDC150	196729192	196729861	+
chr2	HSPE1	197503038	197503381	+
chr2	LINC01877	199629063	199631895	+
chr2	LINC01877	199629924	199631895	+
chr2	LINC01877	199630245	199631895	+
chr2	NIF3L1	200891735	200892379	+
chr2	NRP2	205682500	205683363	+
chr2	TMEM169	216081918	216082232	+
chr2	RPL37A	216499085	216499398	+
chr2	PLCD4	218636470	218637173	+
chr2	ZFAND2B	219208255	219208486	+
chr2	GMPPA	219505457	219505761	+
chr2	GMPPA	219505457	219505761	+
chr2	GMPPA	219506253	219506422	+
chr2	AC009950.1	230172098	230172515	+
chr2	PPP1R7	241182646	241183652	+
chr2	FARP2	241494007	241494840	+
chr3	SETMAR	4312897	4313761	+
chr3	SETMAR	4312897	4313761	+
chr3	BRPF1	9745572	9745930	+
chr3	OGG1	9756766	9757191	+
chr3	TTLL3	9826996	9827240	+
chr3	TTLL3	9834680	9835404	+
chr3	CRELD1	9933833	9934612	+
chr3	TSEN2	12503261	12503784	+
chr3	KCNH8	19450105	19451404	+
chr3	SGO1-AS1	20345659	20346066	+
chr3	OXSM	25790989	25791997	+
chr3	OXSM	25790989	25791997	+
chr3	LINC01980	27797556	27797911	+
chr3	LINC01980	27802113	27802850	+
chr3	LINC01980	27802113	27802850	+
chr3	LINC01980	27797568	27797911	+
chr3	LINC01980	27797574	27797911	+
chr3	C3ORF35	37417018	37418101	+
chr3	CTNNB1	41224953	41225207	+
chr3	CTNNB1	41239133	41239900	+
chr3	CTNNB1	41239133	41239900	+
chr3	CTNNB1	41239133	41239971	+
chr3	CTNNB1	41239133	41239947	+
chr3	CTNNB1	41239133	41239955	+
chr3	CTNNB1	41239133	41239904	+
chr3	CTNNB1	41239133	41239904	+
chr3	CTNNB1	41239133	41240443	+
chr3	CTNNB1	41239133	41240443	+
chr3	TCAIM	44400354	44401334	+
chr3	ATRIP	48460109	48460799	+
chr3	ATRIP	48465486	48467645	+
chr3	ATRIP	48466629	48467645	+
chr3	PRKAR2A-AS1	48848104	48851976	+
chr3	WDR6	49011634	49014293	+
chr3	RBM6	50061461	50062108	+
chr3	HEMK1	50579843	50580229	+
chr3	GRM2	51715061	51716137	+
chr3	ABHD14A-ACY1	51985851	51987453	+
chr3	ABHD14A-ACY1	51987555	51988603	+
chr3	ABHD14A-ACY1	51986604	51987061	+
chr3	ABHD14A-ACY1	51986604	51987061	+
chr3	ABHD14A-ACY1	51986604	51987061	+
chr3	ABHD14A-ACY1	51986414	51987061	+
chr3	ABHD14A-ACY1	51986414	51987453	+
chr3	ABHD14A-ACY1	51986604	51987453	+
chr3	ABHD14A-ACY1	51986604	51987453	+
chr3	ABHD14A-ACY1	51986414	51987624	+
chr3	ABHD14A-ACY1	51986604	51988603	+
chr3	ABHD14A-ACY1	51986604	51988603	+
chr3	ABHD14A-ACY1	51986987	51987196	+
chr3	ABHD14A-ACY1	51985851	51986331	+
chr3	ABHD14A-ACY1	51986987	51987453	+
chr3	PPM1M	52249173	52250595	+
chr3	GLYCTK	52292259	52293475	+
chr3	PHF7	52414495	52414587	+
chr3	PHF7	52419832	52419934	+
chr3	PHF7	52421647	52421754	+
chr3	C3ORF49	63831679	63832106	+
chr3	AC109587.1	69013983	69014201	+
chr3	AC129807.1	81840539	81840909	+
chr3	LINC00879	94989328	94990070	+
chr3	NXPE3	101816794	101817001	+
chr3	NFKBIZ	101853090	101853863	+
chr3	DUBR	107246007	107248831	+
chr3	DUBR	107246007	107248831	+
chr3	DUBR	107246007	107247088	+
chr3	DUBR	107246007	107247088	+
chr3	DUBR	107246007	107247088	+
chr3	HHLA2	108376492	108378285	+
chr3	DZIP3	108647942	108648962	+
chr3	SLC35A5	112580545	112581326	+
chr3	SLC35A5	112580545	112581326	+
chr3	ZDHHC23	113948685	113948963	+
chr3	ZBTB20-AS1	114366966	114367221	+
chr3	ZBTB20-AS1	114366966	114367221	+
chr3	AC079848.2	126247030	126247713	+
chr3	COL6A5	130431464	130431949	+
chr3	NUDT16	131383161	131388830	+
chr3	NCK1	136945582	136946295	+
chr3	LINC01213	150238699	150238998	+
chr3	EIF2A	150567901	150568046	+
chr3	EIF2A	150567901	150568046	+
chr3	LINC02029	157087858	157088536	+
chr3	SKIL	170359698	170361429	+
chr3	KCNMB2	178825587	178825758	+
chr3	TTC14	180608700	180610003	+
chr3	LINC01206	182001117	182001760	+
chr3	LINC01206	182002773	182004063	+
chr3	LINC01206	182001117	182003122	+
chr3	LINC01206	182001117	182003122	+
chr3	LINC01206	182001117	182003122	+
chr3	LINC01206	181971563	181971906	+
chr3	LINC01206	181971563	181971906	+
chr3	EIF2B5	184143051	184143565	+
chr3	EIF2B5	184143051	184143565	+
chr3	LINC02020	186440981	186442081	+
chr3	LINC02020	186440981	186442081	+
chr3	KNG1	186741521	186744410	+
chr3	LINC00884	194487139	194488726	+
chr3	LINC00884	194487145	194488726	+
chr3	MUC20-OT1	195701379	195701669	+
chr3	MUC20-OT1	195708133	195708807	+
chr3	MUC20-OT1	195708133	195708807	+
chr3	MUC20-OT1	195708133	195708807	+
chr3	MUC20-OT1	195708137	195708841	+
