chrom	gene	exon1Start	exon1End	exon2Start	exon2End	strand
chr1	LINC01358	59062114	59062184	59082220	59082437	+
chr1	LINC01358	59062114	59062184	59086402	59086596	+
chr1	LINC01358	59082220	59082437	59086402	59086596	+
chr1	FGGY	59339957	59340069	59346246	59346398	+
chr1	FGGY	59339957	59340069	59378748	59378837	+
chr1	NFIA	61385870	61385924	61399375	61399520	+
chr1	NFIA	61426464	61426556	61439450	61439518	+
chr1	ALG6	63411145	63411155	63411254	63411331	+
chr1	SGIP1	66694438	66694504	66695433	66695493	+
chr1	SGIP1	66634079	66634163	66635943	66636015	+
chr1	LINC01702	67529652	67529749	67530314	67530378	+
chr1	LINC01702	67527377	67527437	67529627	67529749	+
chr1	LINC01702	67527377	67527437	67529652	67529749	+
chr1	LINC01702	67527377	67527437	67529618	67529749	+
chr1	GADD45A	67686024	67686126	67686349	67686587	+
chr1	GNG12-AS1	67956155	67956262	68034646	68034763	+
chr1	GNG12-AS1	68100697	68100774	68102654	68102727	+
chr1	SRSF11	70231094	70231203	70231858	70231975	+
chr1	ZRANB2-AS2	71093132	71093251	71223056	71223114	+
chr1	ZRANB2-AS2	71184346	71184571	71223056	71223114	+
chr1	ZRANB2-AS2	71237129	71237195	71368054	71368088	+
chr1	ZRANB2-AS2	71237129	71237386	71368054	71368088	+
chr1	ZRANB2-AS2	71304358	71304415	71365037	71365199	+
chr1	ZRANB2-AS2	71184346	71184571	71193674	71193728	+
chr1	ZRANB2-AS2	71208180	71208296	71223056	71223114	+
chr1	ZRANB2-AS2	71268434	71268478	71365037	71365199	+
chr1	ZRANB2-AS2	71280525	71280615	71365037	71365199	+
chr1	ZRANB2-AS2	71093132	71093251	71202034	71202056	+
chr1	ZRANB2-AS2	71193674	71193728	71202034	71202056	+
chr1	ZRANB2-AS2	71365037	71365199	71368054	71368088	+
chr1	ZRANB2-AS2	71304358	71304415	71368054	71368088	+
chr1	ZRANB2-AS2	71093132	71093251	71184346	71184571	+
chr1	ZRANB2-AS2	71093132	71093251	71193674	71193728	+
chr1	ZRANB2-AS2	71223056	71223114	71237129	71237386	+
chr1	ZRANB2-AS2	71268434	71268478	71280525	71280615	+
chr1	ZRANB2-AS2	71476860	71476967	71484785	71484836	+
chr1	LINC01360	73307167	73307384	73310852	73310990	+
chr1	LINC01360	73307167	73307384	73310852	73310990	+
chr1	LINC01360	73307167	73307363	73310852	73310990	+
chr1	ACADM	75728400	75728488	75732643	75732741	+
chr1	AC092813.1	75983444	75983560	76010739	76010853	+
chr1	AC092813.1	75935950	75936154	75983444	75983560	+
chr1	AC092813.1	75935924	75936154	75983444	75983560	+
chr1	ADGRL2	81986900	81987029	81987259	81987341	+
chr1	ADGRL2	81987868	81987886	81989656	81989695	+
chr1	ADGRL2	81986900	81987029	81987288	81987341	+
chr1	ADGRL2	81987868	81987886	81989656	81989709	+
chr1	ADGRL2	81986900	81987029	81987288	81987341	+
chr1	LINC01362	82952671	82952728	82991859	82991980	+
chr1	LINC01362	82952671	82952837	82991859	82991980	+
chr1	BRDT	91949889	91950474	91962717	91962946	+
chr1	BRDT	91949637	91949682	91950107	91950474	+
chr1	BRDT	91949889	91949958	91957528	91957600	+
chr1	BRDT	91949899	91950474	91957528	91957600	+
chr1	BRDT	91950304	91950474	91957528	91957600	+
chr1	BRDT	91949889	91949958	91950304	91950474	+
chr1	ARHGAP29-AS1	94250378	94250544	94257960	94258029	+
chr1	ABCD3	94472172	94472242	94473765	94473835	+
chr1	LINC02790	96002100	96002212	96006192	96006421	+
chr1	LINC02790	96002100	96002212	96006169	96006421	+
chr1	LINC02790	96002100	96002212	96003362	96003444	+
chr1	LINC02790	96002100	96002212	96005756	96005867	+
chr1	LINC02790	96002100	96002212	96006196	96006421	+
chr1	LINC02790	96002100	96002212	96006362	96006421	+
chr1	SLC35A3	99999260	99999415	100007033	100007156	+
chr1	AC093157.1	101075275	101075394	101075394	101075716	+
chr1	AC093157.1	101080388	101080613	101080886	101080998	+
chr1	LINC01709	101730940	101731053	101733329	101733556	+
chr1	AL355306.2	105978906	105979020	106022017	106022141	+
chr1	NTNG1	107418579	107418645	107430749	107430917	+
chr1	GPSM2	108914337	108914408	108918612	108918789	+
chr1	GPSM2	108877530	108877774	108882579	108882625	+
chr1	GPSM2	108918612	108918789	108922416	108922576	+
chr1	GPSM2	108922416	108922576	108923999	108924214	+
chr1	ELAPOR1	109173687	109173837	109185044	109185133	+
chr1	CYB561D1	109494519	109494623	109495142	109495180	+
chr1	AMPD2	109622184	109622353	109623978	109624089	+
chr1	LAMTOR5-AS1	110413320	110413410	110414151	110414231	+
chr1	LAMTOR5-AS1	110413038	110413094	110414151	110414231	+
chr1	LAMTOR5-AS1	110413038	110413094	110413320	110413410	+
chr1	LAMTOR5-AS1	110416008	110416188	110417488	110417640	+
chr1	LAMTOR5-AS1	110409084	110409158	110411444	110411521	+
chr1	LAMTOR5-AS1	110408921	110409158	110411444	110411521	+
chr1	LAMTOR5-AS1	110413320	110413410	110414151	110414231	+
chr1	LAMTOR5-AS1	110417488	110417640	110417793	110417916	+
chr1	LAMTOR5-AS1	110425608	110426067	110429790	110430066	+
chr1	CHIA	111315269	111315435	111315733	111315872	+
chr1	DCLRE1B	113906995	113907161	113908008	113908191	+
chr1	PHGDH	119724318	119724469	119724784	119724875	+
chr1	NBPF26	120824865	120824917	120829763	120829815	+
chr1	NBPF26	120834494	120834546	120836516	120836568	+
chr1	NBPF26	120832874	120832983	120834494	120834546	+
chr1	LINC02798	121397620	121397787	121427981	121428064	+
chr1	GPR89A	145608347	145608675	145612201	145612247	+
chr1	LIX1L-AS1	145937356	145937464	145939823	145940066	+
chr1	LIX1L-AS1	145932083	145932159	145939823	145940066	+
chr1	LIX1L-AS1	145932083	145932159	145937356	145937464	+
chr1	LIX1L-AS1	145944534	145944626	145958360	145958438	+
chr1	NBPF12	146988840	146988949	146990465	146990517	+
chr1	NBPF12	146960108	146960318	146966463	146966673	+
chr1	NBPF12	146970646	146970719	146976928	146977001	+
chr1	CHD1L	147268781	147268878	147272170	147272281	+
chr1	CHD1L	147252622	147252735	147254869	147254976	+
chr1	CHD1L	147259836	147259918	147264421	147264584	+
chr1	CHD1L	147259836	147259918	147264428	147264584	+
chr1	CHD1L	147256530	147256562	147259836	147259918	+
chr1	AC245100.4	148424062	148424189	148424626	148424678	+
chr1	PDE4DIP	149010442	149010595	149012590	149012776	+
chr1	AC245297.3	149177157	149177212	149190635	149190795	+
chr1	NBPF19	149488904	149488956	149493659	149493711	+
chr1	TARS2	150491393	150491511	150492410	150492489	+
chr1	PRUNE1	151017811	151017904	151024610	151024795	+
chr1	PRUNE1	151017811	151017904	151025514	151025673	+
chr1	PRUNE1	151018556	151018669	151025514	151025673	+
chr1	PRUNE1	151018466	151018669	151025514	151025673	+
chr1	ZNF687	151288527	151288706	151289094	151289271	+
chr1	OAZ3	151768057	151768233	151770171	151770257	+
chr1	FLAD1	154992564	154992673	154992712	154992786	+
chr1	FLAD1	154992564	154992673	154992712	154992786	+
chr1	ADAM15	155061414	155061489	155061903	155061975	+
chr1	ADAM15	155060762	155060832	155061417	155061489	+
chr1	ADAM15	155061414	155061489	155061903	155062117	+
chr1	SLC50A1	155136827	155136951	155137560	155137722	+
chr1	MSTO1	155611215	155611241	155611548	155611603	+
chr1	DAP3	155717005	155717128	155721516	155721618	+
chr1	DAP3	155731943	155732033	155736945	155737063	+
chr1	PMF1	156225556	156225668	156232319	156232425	+
chr1	RHBG	156371181	156371254	156374606	156374729	+
chr1	TTC24	156583041	156583170	156583799	156583895	+
chr1	CD1E	158354376	158354673	158355299	158355569	+
chr1	IFI16	159045296	159045464	159049431	159049599	+
chr1	NCSTN	160343703	160343802	160344475	160344614	+
chr1	NCSTN	160343703	160343888	160344475	160344614	+
chr1	SLAMF7	160749820	160750093	160751344	160751448	+
chr1	SLAMF7	160748193	160748514	160749820	160750093	+
chr1	SLAMF7	160748193	160748514	160749820	160750093	+
chr1	SLAMF7	160750303	160750423	160751344	160751448	+
chr1	LY9	160797109	160797275	160798825	160799008	+
chr1	PPOX	161169905	161170024	161170408	161170519	+
chr1	PPOX	161167994	161168127	161168412	161168576	+
chr1	PPOX	161167338	161167486	161167994	161168127	+
chr1	NDUFS2	161212591	161212654	161213086	161213182	+
chr1	NDUFS2	161212591	161212654	161213089	161213182	+
chr1	NDUFS2	161209856	161209931	161210110	161210188	+
chr1	FCGR2A	161510840	161510956	161513894	161513932	+
chr1	FCRLA	161710474	161710492	161710759	161710912	+
chr1	FCRLA	161711207	161711474	161711933	161712218	+
chr1	FCRLA	161710759	161710912	161711933	161712218	+
chr1	HSD17B7	162800212	162800314	162803430	162803535	+
chr1	RCSD1	167685420	167685510	167690048	167690120	+
chr1	DCAF6	168015780	168015951	168019544	168019667	+
chr1	LINC01681	170237747	170237954	170240229	170240322	+
chr1	LINC01681	170226918	170227058	170239969	170240141	+
chr1	FMO2	171196648	171196811	171199345	171199488	+
chr1	PRRC2C	171589368	171589605	171591151	171591200	+
chr1	DARS2	173845228	173845291	173850326	173850479	+
chr1	SOAT1	179302676	179302802	179323436	179323495	+
chr1	CACNA1E	181739259	181739269	181750475	181750487	+
chr1	CACNA1E	181779442	181779539	181781426	181781523	+
chr1	RGSL1	182460623	182460756	182472395	182472557	+
chr1	TSEN15	184093624	184093724	184095030	184095092	+
chr1	TSEN15	184058160	184058240	184070615	184070732	+
chr1	TSEN15	184054727	184054863	184072156	184072298	+
chr1	PRG4	186304107	186304257	186304793	186304922	+
chr1	LINC01036	187092824	187092946	187326920	187327023	+
chr1	CFHR2	196949454	196949649	196950851	196951028	+
chr1	PTPRC	198694017	198694140	198696711	198696909	+
chr1	NR5A2	200029032	200029728	200039657	200039795	+
chr1	AC104461.1	200444613	200444945	200472040	200472119	+
chr1	RNPEP	201996146	201996263	201997318	201997554	+
chr1	RNPEP	201989382	201989531	201996146	201996263	+
chr1	RNPEP	201997318	201997554	201999901	202000015	+
chr1	MDM4	204526359	204526434	204537458	204537497	+
chr1	NFASC	204991291	204991306	205002595	205002748	+
chr1	AC119673.2	205836238	205836303	205853787	205853874	+
chr1	AC119673.2	205836238	205836303	205853787	205853874	+
chr1	AC119673.2	205853787	205853874	205858142	205858320	+
chr1	AC119673.2	205836238	205836303	205858142	205858320	+
chr1	AC119673.2	205853787	205853874	205858142	205858289	+
chr1	AC119673.2	205836238	205836303	205858142	205858289	+
chr1	CD55	207340390	207340508	207347446	207347561	+
chr1	CD55	207347446	207347561	207354006	207354099	+
chr1	CD55	207340390	207340508	207354006	207354099	+
chr1	CR1	207526752	207526929	207545307	207545484	+
chr1	CR1	207523610	207524009	207542181	207542580	+
chr1	CR1	207542181	207542580	207560738	207561137	+
chr1	CR1L	207708177	207708263	207715311	207715397	+
chr1	CD46	207767778	207767823	207770320	207770362	+
chr1	MIR205HG	209430424	209430500	209431742	209431825	+
chr1	MIR205HG	209430424	209430476	209431742	209431825	+
chr1	SYT14	209953054	209953259	209965892	209966013	+
chr1	LINC00467	211384441	211384534	211390563	211390670	+
chr1	LINC00467	211399376	211399437	211422538	211422639	+
chr1	LINC00467	211399376	211399437	211422538	211422700	+
chr1	LINC00467	211399376	211399437	211422538	211422670	+
chr1	LINC01693	211639971	211640189	211640218	211640360	+
chr1	LINC01693	211639996	211640189	211640218	211640360	+
chr1	LINC01693	211639971	211640189	211640246	211640360	+
chr1	LINC01693	211639996	211640189	211640246	211640360	+
chr1	LINC01693	211639971	211640189	211643292	211643431	+
chr1	LINC01693	211640218	211640360	211643292	211643431	+
chr1	LINC01693	211639971	211640360	211643292	211643431	+
chr1	LINC01693	211639996	211640189	211643292	211643431	+
chr1	LINC01693	211640246	211640360	211643292	211643431	+
chr1	LINC01693	211639971	211640189	211650737	211650815	+
chr1	LINC01693	211640218	211640360	211650737	211650815	+
chr1	LINC01693	211639971	211640360	211650737	211650815	+
chr1	LINC01693	211639996	211640189	211650737	211650815	+
chr1	LINC01693	211640246	211640360	211650737	211650815	+
chr1	LINC01693	211643292	211643431	211650737	211650815	+
chr1	TATDN3	212797111	212797196	212802700	212802763	+
chr1	RPS6KC1	213071005	213071041	213077695	213077816	+
chr1	MARK1	220529671	220529771	220576645	220576736	+
chr1	DISP1	222872270	222872428	222899780	222899865	+
chr1	FBXO28	224134073	224134212	224153141	224153337	+
chr1	DNAH14	225338060	225338182	225338258	225338287	+
chr1	DNAH14	225123526	225123614	225140730	225141021	+
chr1	AC099066.2	225710502	225710568	225738094	225738197	+
chr1	SRP9	225786861	225786985	225789033	225789141	+
chr1	TSNAX-DISC1	231561127	231561255	231616643	231616906	+
chr1	DISC1	231795241	231795296	231800107	231800210	+
chr1	DISC1	231701954	231702024	231749925	231750076	+
chr1	DISC1	231749925	231750076	231767139	231767269	+
chr1	TBCE	235401502	235401587	235414432	235414618	+
chr1	AL357556.3	235342835	235342883	235363013	235363128	+
chr1	AL357556.3	235335241	235335334	235363013	235363128	+
chr1	AL357556.3	235335241	235335334	235342835	235342883	+
chr1	TBCE	235414432	235414618	235419472	235419561	+
chr1	TBCE	235414432	235414618	235427139	235427239	+
chr1	TBCE	235401502	235401587	235414432	235414469	+
chr1	TBCE	235401502	235401587	235413875	235413997	+
chr1	TBCE	235430704	235430804	235434203	235434280	+
chr1	LGALS8	236518423	236518500	236523969	236524061	+
chr1	LGALS8	236523969	236524061	236525423	236525545	+
chr1	ACTN2	236734432	236734518	236735634	236735720	+
chr1	ACTN2	236734432	236734518	236737121	236737214	+
chr1	RYR2	237743599	237743623	237755060	237755117	+
chr1	EXO1	241852291	241852411	241853357	241853481	+
chr1	EXO1	241852291	241852411	241853357	241853472	+
chr1	CATSPERE	244499001	244499079	244518591	244518698	+
chr1	EFCAB2	245002120	245002232	245017241	245017326	+
chr1	GCSAML	247549044	247549220	247556406	247556466	+
chr1	AL732372.2	502464	502661	502861	502955	-
chr1	C1ORF159	1105955	1106049	1115021	1115075	-
chr1	C1ORF159	1090875	1090983	1091277	1091374	-
chr1	UBE2J2	1264782	1264830	1266097	1266290	-
chr1	INTS11	1321907	1321984	1323180	1323287	-
chr1	INTS11	1320995	1321093	1323180	1323287	-
chr1	INTS11	1319295	1319524	1323180	1323287	-
chr1	INTS11	1319295	1319524	1320995	1321093	-
chr1	INTS11	1321907	1321984	1323146	1323287	-
chr1	INTS11	1321907	1321984	1322891	1323287	-
chr1	CDK11B	1645459	1645508	1645578	1645643	-
chr1	CDK11B	1645997	1646048	1646125	1646143	-
chr1	MEGF6	3546997	3547123	3579824	3579929	-
chr1	MEGF6	3493770	3493797	3493995	3494124	-
chr1	TP73-AS1	3741219	3741373	3742429	3742517	-
chr1	TNFRSF25	6462628	6462663	6464551	6464719	-
chr1	DNAJC11	6651016	6651180	6651528	6651602	-
chr1	ENO1	8870451	8870510	8870824	8870883	-
chr1	SPATA21	16410777	16410915	16421508	16421557	-
chr1	CROCCP3	16486425	16486661	16489684	16489791	-
chr1	AKR7A2	19307313	19307410	19308157	19308262	-
chr1	EIF4G3	20982387	20982408	20997600	20997633	-
chr1	EIF4G3	20982387	20982408	21001198	21001312	-
chr1	EIF4G3	20997600	20997633	21001198	21001312	-
chr1	RHCE	25375348	25375428	25385710	25385844	-
chr1	UBXN11	26294204	26294331	26296918	26296995	-
chr1	EYA3	28042570	28042650	28048382	28048426	-
chr1	ADGRB2	31742837	31743002	31744192	31744357	-
chr1	PTP4A2	31910037	31910112	31911695	31911826	-
chr1	PTP4A2	31911695	31911826	31915894	31915987	-
chr1	BSDC1	32383829	32383939	32386778	32386895	-
chr1	BSDC1	32383829	32383997	32386778	32386895	-
chr1	BSDC1	32381213	32381268	32386778	32386895	-
chr1	ZBTB8OS	32631826	32631879	32633261	32633354	-
chr1	KIAA0319L	35470862	35470960	35474804	35474906	-
chr1	OSCP1	36444003	36444033	36447812	36447887	-
chr1	MEAF6	37496546	37496604	37496706	37496736	-
chr1	EPHA10	37722005	37722296	37722804	37722931	-
chr1	PPIEL	39549789	39549896	39553117	39553144	-
chr1	PPIEL	39523561	39523697	39524835	39525057	-
chr1	TRIT1	39844530	39844640	39847219	39847297	-
chr1	TRIT1	39847219	39847297	39847547	39847660	-
chr1	TRIT1	39864709	39865667	39876061	39876132	-
chr1	SCMH1	41151613	41151684	41159724	41159933	-
chr1	ELOVL1	43364927	43365008	43365185	43365376	-
chr1	ERI3	44230316	44230470	44232239	44232388	-
chr1	ERI3	44232239	44232388	44241914	44242080	-
chr1	ERI3	44230316	44230470	44241914	44242080	-
chr1	SPATA6	48413109	48413151	48451551	48451600	-
chr1	ECHDC2	52897436	52897484	52899173	52899224	-
chr1	ECHDC2	52915130	52915292	52917543	52917615	-
chr1	LRP8	53271027	53271153	53271226	53271346	-
chr1	LRP8	53275630	53275753	53280586	53280715	-
chr1	LDLRAD1	54012142	54012280	54017375	54017427	-
chr1	CYB5RL	54187651	54187739	54190737	54190896	-
chr1	SSBP3	54257126	54257186	54258068	54258149	-
chr1	DHCR24	54877901	54877998	54879748	54879805	-
chr1	AC119674.1	56168238	56168490	56172555	56172666	-
chr1	AC119674.1	56253652	56253893	56332292	56332406	-
chr1	AC119674.1	56258368	56258500	56332292	56332406	-
chr1	AC119674.1	56304464	56304560	56332292	56332406	-
chr1	AC119674.1	56318385	56318576	56332292	56332406	-
chr1	AC119674.2	56400093	56400267	56478885	56479111	-
chr1	AC119674.1	56332292	56332406	56341660	56341728	-
chr1	AC119674.1	56253652	56253893	56341660	56341728	-
chr1	AC119674.1	56258368	56258500	56341660	56341728	-
chr1	AC119674.1	56304464	56304560	56341660	56341728	-
chr1	AC119674.1	56318385	56318576	56341660	56341728	-
chr1	AC119674.1	56253652	56253893	56258368	56258500	-
chr1	AC119674.1	56253652	56253893	56304464	56304560	-
chr1	AC119674.1	56258368	56258500	56304464	56304560	-
chr1	AC119674.1	56253652	56253893	56318385	56318576	-
chr1	AC119674.1	56258368	56258500	56318385	56318576	-
chr1	AC119674.1	56304464	56304560	56318385	56318576	-
chr1	MYSM1	58668429	58668566	58668631	58668682	-
chr1	LINC01748	60543476	60543521	60554472	60554568	-
chr1	LINC01748	60554472	60554568	60573337	60573413	-
chr1	LINC01748	60543476	60543521	60573337	60573413	-
chr1	LINC01748	60600126	60600250	60640010	60640126	-
chr1	NFIA-AS2	60963565	60963804	60969930	60970065	-
chr1	NFIA-AS1	61249947	61249981	61251284	61251369	-
chr1	TM2D1	61723712	61723772	61724287	61724425	-
chr1	DOCK7	62543655	62543745	62544946	62545039	-
chr1	LINC00466	63171117	63171175	63183439	63183579	-
chr1	LINC00466	63171564	63171681	63183439	63183579	-
chr1	LINC00466	63203104	63203167	63257984	63258050	-
chr1	JAK1	64956933	64957017	65066120	65066176	-
chr1	PTGER3	70865688	70865833	70869243	70869319	-
chr1	AL583808.1	72700939	72701063	72735556	72735635	-
chr1	AL583808.1	72766644	72766687	72850749	72850800	-
chr1	ADGRL4	78921612	78921786	78926885	78927091	-
chr1	ODF2L	86385457	86385590	86386914	86387086	-
chr1	LINC02609	90789397	90789487	90831929	90832196	-
chr1	GLMN	92266418	92266492	92266539	92266593	-
chr1	CCDC18-AS1	93309714	93309790	93315148	93315269	-
chr1	CCDC18-AS1	93269682	93269758	93290564	93290686	-
chr1	CCDC18-AS1	93309714	93309790	93311489	93311608	-
chr1	SLC44A3-AS1	94705438	94705557	94732257	94732437	-
chr1	SLC44A3-AS1	94732257	94732437	94770261	94770313	-
chr1	SLC44A3-AS1	94705438	94705557	94770261	94770313	-
chr1	DPH5	101001466	101001544	101013709	101013818	-
chr1	DPH5	101001466	101001587	101013709	101013818	-
chr1	COL11A1	103025799	103025952	103026215	103026332	-
chr1	LINC01676	105600630	105600759	105603276	105603558	-
chr1	LINC01676	105601269	105601385	105603276	105603558	-
chr1	LINC01676	105600630	105600759	105601269	105601385	-
chr1	CLCC1	108950308	108950448	108962308	108962469	-
chr1	WDR47	109017517	109017601	109023354	109023521	-
chr1	SLC16A4	110381651	110381795	110382833	110382966	-
chr1	DRAM2	111122615	111122643	111124741	111124881	-
chr1	LINC02884	112238069	112238198	112271351	112271605	-
chr1	ST7L	112550600	112550693	112555867	112556018	-
chr1	BCL2L15	113881772	113881997	113886536	113886658	-
chr1	CSDE1	114739691	114739890	114749820	114750207	-
chr1	ATP1A1-AS1	116400895	116401131	116405606	116406148	-
chr1	ATP1A1-AS1	116406927	116407195	116411260	116411315	-
chr1	ATP1A1-AS1	116406927	116407195	116413761	116413913	-
chr1	ATP1A1-AS1	116411260	116411315	116413761	116413913	-
chr1	LINC01762	116474233	116474338	116478051	116478172	-
chr1	HMGCS2	119759117	119759282	119759863	119759989	-
chr1	RBM8A	145919186	145919306	145923508	145923573	-
chr1	ACP6	147652448	147652549	147652591	147652647	-
chr1	AC239809.3	148225075	148225289	148226493	148226621	-
chr1	AC239809.3	148226493	148226621	148226734	148226798	-
